Record Length,5208,Points,-20.0000014E-3,320.00002265E-3,,Record Length,5208,Points,-20.0000014E-3,400.00003576E-3,
Sample Interval,7.680499948E-6,s,-19.9923217E-3,520.000040531E-3,,Sample Interval,7.680499948E-6,s,-19.9923217E-3,400.00003576E-3,
Trigger Point,2.6039975E3,Samples,-19.9846402E-3,280.00003099E-3,,Trigger Point,2.6039975E3,Samples,-19.9846402E-3,440.000027418E-3,
,,,-19.9769605E-3,520.000040531E-3,,,,,-19.9769605E-3,420.000016689E-3,
,,,-19.9692789E-3,300.00001192E-3,,,,,-19.9692789E-3,420.000016689E-3,
,,,-19.9615993E-3,540.000021458E-3,,,,,-19.9615993E-3,420.000016689E-3,
Source,Glitch Capture CH1,,-19.9539177E-3,280.00003099E-3,,Source,Sample CH1,,-19.9539177E-3,380.00002503E-3,
Vertical Units,V,,-19.9462380E-3,520.000040531E-3,,Vertical Units,V,,-19.9462380E-3,380.00002503E-3,
Vertical Scale,500.000035390E-3,,-19.9385583E-3,220.00001371E-3,,Vertical Scale,500.000035390E-3,,-19.9385583E-3,420.000016689E-3,
Vertical Offset,0,,-19.9308768E-3,500.000059605E-3,,Vertical Offset,0,,-19.9308768E-3,340.00003338E-3,
Horizontal Units,s,,-19.9231971E-3,220.00001371E-3,,Horizontal Units,s,,-19.9231971E-3,360.00001431E-3,
Horizontal Scale,4.00000437E-3,,-19.9155156E-3,500.000059605E-3,,Horizontal Scale,4.00000437E-3,,-19.9155156E-3,360.00001431E-3,
Pt Fmt,Y,,-19.9078359E-3,240.00000954E-3,,Pt Fmt,Y,,-19.9078359E-3,340.00003338E-3,
Yzero,0.0,,-19.9001543E-3,480.000019073E-3,,Yzero,0.0,,-19.9001543E-3,360.00001431E-3,
Probe Atten,10.0000000,,-19.8924746E-3,280.00003099E-3,,Probe Atten,10.0000000,,-19.8924746E-3,360.00001431E-3,
,,,-19.8847931E-3,380.00002503E-3,,,,,-19.8847931E-3,340.00003338E-3,
Note,lab4_2,,-19.8771134E-3,280.00003099E-3,,Note,lab4_2,,-19.8771134E-3,340.00003338E-3,
,,,-19.8694337E-3,380.00002503E-3,,,,,-19.8694337E-3,340.00003338E-3,
,,,-19.8617522E-3,200.00001788E-3,,,,,-19.8617522E-3,320.00002265E-3,
,,,-19.8540725E-3,460.000038147E-3,,,,,-19.8540725E-3,360.00001431E-3,
,,,-19.8463909E-3,200.00001788E-3,,,,,-19.8463909E-3,320.00002265E-3,
,,,-19.8387112E-3,440.000027418E-3,,,,,-19.8387112E-3,320.00002265E-3,
,,,-19.8310297E-3,200.00001788E-3,,,,,-19.8310297E-3,320.00002265E-3,
,,,-19.8233500E-3,440.000027418E-3,,,,,-19.8233500E-3,300.00001192E-3,
,,,-19.8156703E-3,260.00002027E-3,,,,,-19.8156703E-3,300.00001192E-3,
,,,-19.8079888E-3,340.00003338E-3,,,,,-19.8079888E-3,300.00001192E-3,
,,,-19.8003091E-3,240.00000954E-3,,,,,-19.8003091E-3,300.00001192E-3,
,,,-19.7926275E-3,340.00003338E-3,,,,,-19.7926275E-3,300.00001192E-3,
,,,-19.7849479E-3,240.00000954E-3,,,,,-19.7849479E-3,280.00003099E-3,
,,,-19.7772663E-3,320.00002265E-3,,,,,-19.7772663E-3,280.00003099E-3,
,,,-19.7695866E-3,220.00001371E-3,,,,,-19.7695866E-3,300.00001192E-3,
,,,-19.7619051E-3,320.00002265E-3,,,,,-19.7619051E-3,260.00002027E-3,
,,,-19.7542254E-3,220.00001371E-3,,,,,-19.7542254E-3,280.00003099E-3,
,,,-19.7465457E-3,320.00002265E-3,,,,,-19.7465457E-3,280.00003099E-3,
,,,-19.7388642E-3,220.00001371E-3,,,,,-19.7388642E-3,260.00002027E-3,
,,,-19.7311845E-3,300.00001192E-3,,,,,-19.7311845E-3,260.00002027E-3,
,,,-19.7235029E-3,220.00001371E-3,,,,,-19.7235029E-3,260.00002027E-3,
