Model,MSO2024B
Firmware Version,1.56

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,130200
Sample Interval,260.4
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
5.7028e+04,-56.075
5.7288e+04,-55.0531
5.7548e+04,-56.075
5.7809e+04,-57.0938
5.8069e+04,-55.0187
5.8330e+04,-52.9438
5.8590e+04,-57.0094
5.8850e+04,-61.0719
5.9111e+04,-59.0844
5.9371e+04,-57.0938
5.9632e+04,-56.075
5.9892e+04,-55.0531
6.0152e+04,-56.075
6.0413e+04,-57.0938
6.0673e+04,-56.075
6.0934e+04,-55.0531
6.1194e+04,-55.0531
6.1454e+04,-55.0531
6.1715e+04,-59.5688
6.1975e+04,-64.0812
6.2236e+04,-59.5688
6.2496e+04,-55.0531
6.2756e+04,-56.075
6.3017e+04,-57.0938
6.3277e+04,-56.075
6.3538e+04,-55.0531
6.3798e+04,-59.5688
6.4058e+04,-64.0812
6.4319e+04,-59.5688
6.4579e+04,-55.0531
6.4840e+04,-55.0531
6.5100e+04,-55.0531
6.5360e+04,-58.0625
6.5621e+04,-61.0719
6.5881e+04,-59.5688
6.6142e+04,-58.0625
6.6402e+04,-56.5594
6.6662e+04,-55.0531
6.6923e+04,-56.075
6.7183e+04,-57.0938
6.7444e+04,-57.0938
6.7704e+04,-57.0938
6.7964e+04,-55.5875
6.8225e+04,-54.0812
6.8485e+04,-55.5875
6.8746e+04,-57.0938
6.9006e+04,-57.0938
6.9266e+04,-57.0938
6.9527e+04,-56.075
6.9787e+04,-55.0531
7.0048e+04,-54
7.0308e+04,-52.9438
7.0568e+04,-57.0094
7.0829e+04,-61.0719
7.1089e+04,-61.0719
7.1350e+04,-61.0719
7.1610e+04,-57.0094
7.1870e+04,-52.9438
7.2131e+04,-55.0187
7.2391e+04,-57.0938
7.2652e+04,-57.0938
7.2912e+04,-57.0938
7.3172e+04,-57.0938
7.3433e+04,-57.0938
7.3693e+04,-55.0187
7.3954e+04,-52.9438
7.4214e+04,-55.0187
7.4474e+04,-57.0938
7.4735e+04,-57.0938
7.4995e+04,-57.0938
7.5256e+04,-55.0187
7.5516e+04,-52.9438
7.5776e+04,-54
7.6037e+04,-55.0531
7.6297e+04,-58.0625
7.6558e+04,-61.0719
7.6818e+04,-58.0625
7.7078e+04,-55.0531
7.7339e+04,-54.5688
7.7599e+04,-54.0812
7.7860e+04,-57.5781
7.8120e+04,-61.0719
7.8380e+04,-58.0625
7.8641e+04,-55.0531
7.8901e+04,-58.0625
7.9162e+04,-61.0719
7.9422e+04,-57.5781
7.9682e+04,-54.0812
7.9943e+04,-55.5875
8.0203e+04,-57.0938
8.0464e+04,-57.0938
8.0724e+04,-57.0938
8.0984e+04,-59.0844
8.1245e+04,-61.0719
8.1505e+04,-57.0094
8.1766e+04,-52.9438
8.2026e+04,-55.0187
8.2286e+04,-57.0938
8.2547e+04,-57.0938
8.2807e+04,-57.0938
8.3068e+04,-56.075
8.3328e+04,-55.0531
8.3588e+04,-55.0531
8.3849e+04,-55.0531
8.4109e+04,-58.0625
8.4370e+04,-61.0719
8.4630e+04,-59.0844
8.4890e+04,-57.0938
8.5151e+04,-60.5875
8.5411e+04,-64.0812
8.5672e+04,-59.5688
8.5932e+04,-55.0531
8.6192e+04,-54.5688
8.6453e+04,-54.0812
8.6713e+04,-57.5781
8.6974e+04,-61.0719
8.7234e+04,-58.0625
8.7494e+04,-55.0531
8.7755e+04,-56.075
8.8015e+04,-57.0938
8.8276e+04,-57.0938
8.8536e+04,-57.0938
8.8796e+04,-57.0938
8.9057e+04,-57.0938
8.9317e+04,-57.0938
8.9578e+04,-57.0938
8.9838e+04,-56.075
9.0098e+04,-55.0531
9.0359e+04,-56.075
9.0619e+04,-57.0938
9.0880e+04,-57.0938
9.1140e+04,-57.0938
9.1400e+04,-59.0844
9.1661e+04,-61.0719
9.1921e+04,-56.0719
9.2182e+04,-51.0719
9.2442e+04,-56.0719
9.2702e+04,-61.0719
9.2963e+04,-57.0094
9.3223e+04,-52.9438
9.3484e+04,-57.0094
9.3744e+04,-61.0719
9.4004e+04,-58.0625
9.4265e+04,-55.0531
9.4525e+04,-55.0531
9.4786e+04,-55.0531
9.5046e+04,-55.0531
9.5306e+04,-55.0531
9.5567e+04,-56.075
9.5827e+04,-57.0938
9.6088e+04,-56.075
9.6348e+04,-55.0531
9.6608e+04,-56.075
9.6869e+04,-57.0938
9.7129e+04,-56.075
9.7390e+04,-55.0531
9.7650e+04,-56.075
9.7910e+04,-57.0938
9.8171e+04,-55.0187
9.8431e+04,-52.9438
9.8692e+04,-57.0094
9.8952e+04,-61.0719
9.9212e+04,-58.0625
9.9473e+04,-55.0531
9.9733e+04,-54
9.9994e+04,-52.9438
1.0025e+05,-57.0094
1.0051e+05,-61.0719
1.0077e+05,-61.0719
1.0104e+05,-61.0719
1.0130e+05,-57.0094
1.0156e+05,-52.9438
1.0182e+05,-55.5031
1.0208e+05,-58.0625
1.0234e+05,-56.5594
1.0260e+05,-55.0531
1.0286e+05,-56.075
1.0312e+05,-57.0938
1.0338e+05,-56.075
1.0364e+05,-55.0531
1.0390e+05,-59.5688
1.0416e+05,-64.0812
1.0442e+05,-59.5688
1.0468e+05,-55.0531
1.0494e+05,-56.075
1.0520e+05,-57.0938
1.0546e+05,-57.0938
1.0572e+05,-57.0938
1.0598e+05,-59.0844
1.0624e+05,-61.0719
1.0650e+05,-58.0625
1.0676e+05,-55.0531
1.0702e+05,-56.075
1.0728e+05,-57.0938
1.0755e+05,-55.5875
1.0781e+05,-54.0812
1.0807e+05,-54.3125
1.0833e+05,-54.5406
1.0859e+05,-55.8188
1.0885e+05,-57.0938
1.0911e+05,-57.0938
1.0937e+05,-57.0938
1.0963e+05,-57.0938
1.0989e+05,-57.0938
1.1015e+05,-57.0938
1.1041e+05,-57.0938
1.1067e+05,-57.0938
1.1093e+05,-57.0938
1.1119e+05,-57.0938
1.1145e+05,-57.0938
1.1171e+05,-55.5875
1.1197e+05,-54.0812
1.1223e+05,-55.5875
1.1249e+05,-57.0938
1.1275e+05,-56.075
1.1301e+05,-55.0531
1.1327e+05,-58.0625
1.1353e+05,-61.0719
1.1379e+05,-59.0844
1.1406e+05,-57.0938
1.1432e+05,-57.0938
1.1458e+05,-57.0938
1.1484e+05,-57.5781
1.1510e+05,-58.0625
1.1536e+05,-59.5688
1.1562e+05,-61.0719
