Model,MSO2024B
Firmware Version,1.56

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,130200
Sample Interval,260.4
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
2.4452e+05,-61.0719
2.4478e+05,-61.0719
2.4504e+05,-61.0719
2.4530e+05,-61.0719
2.4556e+05,-62.5781
2.4582e+05,-64.0812
2.4608e+05,-62.5781
2.4634e+05,-61.0719
2.4660e+05,-61.0719
2.4686e+05,-61.0719
2.4712e+05,-62.5781
2.4738e+05,-64.0812
2.4764e+05,-60.5875
2.4790e+05,-57.0938
2.4816e+05,-59.0844
2.4842e+05,-61.0719
2.4868e+05,-61.0719
2.4894e+05,-61.0719
2.4920e+05,-58.0625
2.4946e+05,-55.0531
2.4972e+05,-59.5688
2.4998e+05,-64.0812
2.5024e+05,-62.5781
2.5050e+05,-61.0719
2.5077e+05,-59.5688
2.5103e+05,-58.0625
2.5129e+05,-59.5688
2.5155e+05,-61.0719
2.5181e+05,-61.0719
2.5207e+05,-61.0719
2.5233e+05,-61.0719
2.5259e+05,-61.0719
2.5285e+05,-58.0625
2.5311e+05,-55.0531
2.5337e+05,-56.5594
2.5363e+05,-58.0625
2.5389e+05,-61.0719
2.5415e+05,-64.0812
2.5441e+05,-62.5781
2.5467e+05,-61.0719
2.5493e+05,-61.0719
2.5519e+05,-61.0719
2.5545e+05,-62.5781
2.5571e+05,-64.0812
2.5597e+05,-62.5781
2.5623e+05,-61.0719
2.5649e+05,-59.0844
2.5675e+05,-57.0938
2.5701e+05,-59.0844
2.5728e+05,-61.0719
2.5754e+05,-62.5781
2.5780e+05,-64.0812
2.5806e+05,-59.3125
2.5832e+05,-54.5406
2.5858e+05,-59.3125
2.5884e+05,-64.0812
2.5910e+05,-62.5781
2.5936e+05,-61.0719
2.5962e+05,-59.0844
2.5988e+05,-57.0938
2.6014e+05,-59.0844
2.6040e+05,-61.0719
2.6066e+05,-61.0719
2.6092e+05,-61.0719
2.6118e+05,-62.5781
2.6144e+05,-64.0812
2.6170e+05,-60.5875
2.6196e+05,-57.0938
2.6222e+05,-57.5781
2.6248e+05,-58.0625
2.6274e+05,-61.0719
2.6300e+05,-64.0812
2.6326e+05,-59.5688
2.6352e+05,-55.0531
2.6379e+05,-59.5688
2.6405e+05,-64.0812
2.6431e+05,-62.5781
2.6457e+05,-61.0719
2.6483e+05,-62.5781
2.6509e+05,-64.0812
2.6535e+05,-62.5781
2.6561e+05,-61.0719
2.6587e+05,-61.0719
2.6613e+05,-61.0719
2.6639e+05,-61.0719
2.6665e+05,-61.0719
2.6691e+05,-61.0719
2.6717e+05,-61.0719
2.6743e+05,-62.5781
2.6769e+05,-64.0812
2.6795e+05,-59.5688
2.6821e+05,-55.0531
2.6847e+05,-59.5688
2.6873e+05,-64.0812
2.6899e+05,-62.5781
2.6925e+05,-61.0719
2.6951e+05,-61.0719
2.6977e+05,-61.0719
2.7003e+05,-62.5781
2.7030e+05,-64.0812
2.7056e+05,-62.5781
2.7082e+05,-61.0719
2.7108e+05,-62.5781
2.7134e+05,-64.0812
2.7160e+05,-60.5875
2.7186e+05,-57.0938
2.7212e+05,-60.5875
2.7238e+05,-64.0812
2.7264e+05,-64.0812
2.7290e+05,-64.0812
2.7316e+05,-62.5781
2.7342e+05,-61.0719
2.7368e+05,-59.0844
2.7394e+05,-57.0938
2.7420e+05,-59.0844
2.7446e+05,-61.0719
2.7472e+05,-59.0844
2.7498e+05,-57.0938
2.7524e+05,-59.0844
2.7550e+05,-61.0719
2.7576e+05,-62.5781
2.7602e+05,-64.0812
2.7628e+05,-61.0719
2.7654e+05,-58.0625
2.7681e+05,-59.5688
2.7707e+05,-61.0719
2.7733e+05,-62.5781
2.7759e+05,-64.0812
2.7785e+05,-64.0812
2.7811e+05,-64.0812
2.7837e+05,-59.5688
2.7863e+05,-55.0531
2.7889e+05,-58.0625
2.7915e+05,-61.0719
2.7941e+05,-61.0719
2.7967e+05,-61.0719
2.7993e+05,-59.0844
2.8019e+05,-57.0938
2.8045e+05,-59.0844
2.8071e+05,-61.0719
2.8097e+05,-59.5688
2.8123e+05,-58.0625
2.8149e+05,-59.5688
2.8175e+05,-61.0719
2.8201e+05,-61.0719
2.8227e+05,-61.0719
2.8253e+05,-58.0625
2.8279e+05,-55.0531
2.8305e+05,-56.5594
2.8332e+05,-58.0625
2.8358e+05,-59.5688
2.8384e+05,-61.0719
2.8410e+05,-59.0844
2.8436e+05,-57.0938
2.8462e+05,-59.0844
2.8488e+05,-61.0719
2.8514e+05,-59.0844
2.8540e+05,-57.0938
2.8566e+05,-59.0844
2.8592e+05,-61.0719
2.8618e+05,-59.0844
2.8644e+05,-57.0938
2.8670e+05,-60.5875
2.8696e+05,-64.0812
2.8722e+05,-59.5688
2.8748e+05,-55.0531
2.8774e+05,-58.0625
2.8800e+05,-61.0719
2.8826e+05,-61.0719
2.8852e+05,-61.0719
2.8878e+05,-61.0719
2.8904e+05,-61.0719
2.8930e+05,-61.0719
2.8956e+05,-61.0719
2.8983e+05,-59.5688
2.9009e+05,-58.0625
2.9035e+05,-59.5688
2.9061e+05,-61.0719
2.9087e+05,-59.0844
2.9113e+05,-57.0938
2.9139e+05,-59.0844
2.9165e+05,-61.0719
2.9191e+05,-59.0844
2.9217e+05,-57.0938
2.9243e+05,-56.075
2.9269e+05,-55.0531
2.9295e+05,-58.0625
2.9321e+05,-61.0719
2.9347e+05,-57.0094
2.9373e+05,-52.9438
2.9399e+05,-58.5125
2.9425e+05,-64.0812
2.9451e+05,-62.5781
2.9477e+05,-61.0719
2.9503e+05,-59.0844
2.9529e+05,-57.0938
2.9555e+05,-57.0938
2.9581e+05,-57.0938
2.9607e+05,-60.5875
2.9634e+05,-64.0812
2.9660e+05,-60.5875
2.9686e+05,-57.0938
2.9712e+05,-59.0844
2.9738e+05,-61.0719
2.9764e+05,-61.0719
2.9790e+05,-61.0719
2.9816e+05,-62.5781
2.9842e+05,-64.0812
2.9868e+05,-60.5875
2.9894e+05,-57.0938
2.9920e+05,-56.075
2.9946e+05,-55.0531
2.9972e+05,-59.5688
2.9998e+05,-64.0812
3.0024e+05,-60.5875
3.0050e+05,-57.0938
3.0076e+05,-57.0938
3.0102e+05,-57.0938
3.0128e+05,-59.0844
3.0154e+05,-61.0719
3.0180e+05,-61.0719
3.0206e+05,-61.0719
3.0232e+05,-59.0844
3.0258e+05,-57.0938
3.0285e+05,-60.5875
3.0311e+05,-64.0812
3.0337e+05,-62.5781
3.0363e+05,-61.0719
3.0389e+05,-62.5781
3.0415e+05,-64.0812
3.0441e+05,-60.5875
3.0467e+05,-57.0938
3.0493e+05,-59.0844
3.0519e+05,-61.0719
3.0545e+05,-61.0719
3.0571e+05,-61.0719
3.0597e+05,-62.5781
3.0623e+05,-64.0812
3.0649e+05,-60.5875
3.0675e+05,-57.0938
3.0701e+05,-60.5875
3.0727e+05,-64.0812
3.0753e+05,-62.5781
3.0779e+05,-61.0719
3.0805e+05,-59.0844
3.0831e+05,-57.0938
3.0857e+05,-59.0844
3.0883e+05,-61.0719
3.0909e+05,-61.0719
3.0936e+05,-61.0719
3.0962e+05,-59.0844
3.0988e+05,-57.0938
3.1014e+05,-57.0938
3.1040e+05,-57.0938
3.1066e+05,-57.0938
3.1092e+05,-57.0938
3.1118e+05,-57.5781
3.1144e+05,-58.0625
3.1170e+05,-56.0719
3.1196e+05,-54.0812
3.1222e+05,-57.5781
3.1248e+05,-61.0719
3.1274e+05,-62.5781
3.1300e+05,-64.0812
3.1326e+05,-62.5781
3.1352e+05,-61.0719
3.1378e+05,-59.0844
3.1404e+05,-57.0938
3.1430e+05,-59.0844
3.1456e+05,-61.0719
3.1482e+05,-59.5688
3.1508e+05,-58.0625
3.1534e+05,-57.5781
3.1560e+05,-57.0938
3.1587e+05,-59.0844
3.1613e+05,-61.0719
3.1639e+05,-59.0844
3.1665e+05,-57.0938
3.1691e+05,-60.5875
3.1717e+05,-64.0812
3.1743e+05,-60.5875
3.1769e+05,-57.0938
3.1795e+05,-57.0938
3.1821e+05,-57.0938
3.1847e+05,-59.0844
3.1873e+05,-61.0719
3.1899e+05,-59.0844
3.1925e+05,-57.0938
3.1951e+05,-57.0938
3.1977e+05,-57.0938
3.2003e+05,-56.075
3.2029e+05,-55.0531
3.2055e+05,-58.0625
3.2081e+05,-61.0719
3.2107e+05,-59.5688
3.2133e+05,-58.0625
3.2159e+05,-59.5688
3.2185e+05,-61.0719
3.2211e+05,-61.0719
3.2238e+05,-61.0719
3.2264e+05,-59.0844
3.2290e+05,-57.0938
3.2316e+05,-59.0844
3.2342e+05,-61.0719
3.2368e+05,-59.0844
3.2394e+05,-57.0938
3.2420e+05,-59.0844
3.2446e+05,-61.0719
3.2472e+05,-59.0844
3.2498e+05,-57.0938
3.2524e+05,-60.5875
3.2550e+05,-64.0812
3.2576e+05,-62.5781
3.2602e+05,-61.0719
3.2628e+05,-62.5781
3.2654e+05,-64.0812
3.2680e+05,-64.0812
3.2706e+05,-64.0812
3.2732e+05,-62.5781
3.2758e+05,-61.0719
3.2784e+05,-62.5781
3.2810e+05,-64.0812
3.2836e+05,-64.0812
3.2862e+05,-64.0812
3.2889e+05,-60.5875
3.2915e+05,-57.0938
3.2941e+05,-60.5875
3.2967e+05,-64.0812
3.2993e+05,-64.0812
3.3019e+05,-64.0812
3.3045e+05,-61.0719
3.3071e+05,-58.0625
3.3097e+05,-61.0719
3.3123e+05,-64.0812
3.3149e+05,-62.5781
3.3175e+05,-61.0719
3.3201e+05,-61.0719
3.3227e+05,-61.0719
3.3253e+05,-62.5781
3.3279e+05,-64.0812
3.3305e+05,-64.0812
3.3331e+05,-64.0812
3.3357e+05,-62.5781
3.3383e+05,-61.0719
3.3409e+05,-61.0719
3.3435e+05,-61.0719
3.3461e+05,-62.5781
3.3487e+05,-64.0812
3.3513e+05,-64.0812
3.3540e+05,-64.0812
3.3566e+05,-62.5781
3.3592e+05,-61.0719
3.3618e+05,-62.5781
3.3644e+05,-64.0812
3.3670e+05,-62.5781
3.3696e+05,-61.0719
3.3722e+05,-61.0719
3.3748e+05,-61.0719
3.3774e+05,-62.5781
3.3800e+05,-64.0812
3.3826e+05,-64.0812
3.3852e+05,-64.0812
3.3878e+05,-64.0812
3.3904e+05,-64.0812
3.3930e+05,-60.5875
3.3956e+05,-57.0938
3.3982e+05,-60.5875
3.4008e+05,-64.0812
3.4034e+05,-62.5781
3.4060e+05,-61.0719
3.4086e+05,-62.5781
3.4112e+05,-64.0812
3.4138e+05,-60.5875
3.4164e+05,-57.0938
3.4191e+05,-60.5875
3.4217e+05,-64.0812
3.4243e+05,-61.0719
3.4269e+05,-58.0625
3.4295e+05,-61.0719
3.4321e+05,-64.0812
3.4347e+05,-61.0719
3.4373e+05,-58.0625
3.4399e+05,-58.0625
3.4425e+05,-58.0625
3.4451e+05,-58.0625
3.4477e+05,-58.0625
3.4503e+05,-61.0719
3.4529e+05,-64.0812
3.4555e+05,-62.5781
3.4581e+05,-61.0719
3.4607e+05,-61.0719
3.4633e+05,-61.0719
3.4659e+05,-62.5781
3.4685e+05,-64.0812
3.4711e+05,-59.5688
3.4737e+05,-55.0531
3.4763e+05,-58.0625
3.4789e+05,-61.0719
3.4815e+05,-62.5781
3.4842e+05,-64.0812
3.4868e+05,-60.5875
3.4894e+05,-57.0938
3.4920e+05,-60.5875
3.4946e+05,-64.0812
3.4972e+05,-62.5781
3.4998e+05,-61.0719
3.5024e+05,-61.0719
3.5050e+05,-61.0719
3.5076e+05,-61.0719
3.5102e+05,-61.0719
3.5128e+05,-61.0719
3.5154e+05,-61.0719
3.5180e+05,-59.0844
3.5206e+05,-57.0938
3.5232e+05,-59.0844
3.5258e+05,-61.0719
3.5284e+05,-59.0844
3.5310e+05,-57.0938
3.5336e+05,-60.5875
3.5362e+05,-64.0812
3.5388e+05,-60.5875
3.5414e+05,-57.0938
3.5440e+05,-60.5875
3.5466e+05,-64.0812
3.5493e+05,-60.5875
3.5519e+05,-57.0938
3.5545e+05,-54.5688
3.5571e+05,-52.0406
3.5597e+05,-58.0625
3.5623e+05,-64.0812
3.5649e+05,-62.5781
3.5675e+05,-61.0719
3.5701e+05,-59.0844
3.5727e+05,-57.0938
3.5753e+05,-60.5875
3.5779e+05,-64.0812
3.5805e+05,-64.0812
3.5831e+05,-64.0812
3.5857e+05,-60.5875
3.5883e+05,-57.0938
3.5909e+05,-60.5875
3.5935e+05,-64.0812
3.5961e+05,-59.5688
3.5987e+05,-55.0531
3.6013e+05,-59.5688
3.6039e+05,-64.0812
3.6065e+05,-62.5781
3.6091e+05,-61.0719
3.6117e+05,-62.5781
3.6144e+05,-64.0812
3.6170e+05,-64.0812
3.6196e+05,-64.0812
3.6222e+05,-64.0812
3.6248e+05,-64.0812
3.6274e+05,-61.0719
3.6300e+05,-58.0625
3.6326e+05,-61.0719
3.6352e+05,-64.0812
3.6378e+05,-61.0719
3.6404e+05,-58.0625
3.6430e+05,-61.0719
3.6456e+05,-64.0812
3.6482e+05,-62.5781
3.6508e+05,-61.0719
3.6534e+05,-62.5781
3.6560e+05,-64.0812
3.6586e+05,-62.5781
3.6612e+05,-61.0719
3.6638e+05,-62.5781
3.6664e+05,-64.0812
3.6690e+05,-62.5781
3.6716e+05,-61.0719
3.6742e+05,-62.5781
3.6768e+05,-64.0812
3.6795e+05,-64.0812
3.6821e+05,-64.0812
3.6847e+05,-60.5875
3.6873e+05,-57.0938
3.6899e+05,-60.5875
3.6925e+05,-64.0812
3.6951e+05,-64.0812
3.6977e+05,-64.0812
3.7003e+05,-59.5688
3.7029e+05,-55.0531
3.7055e+05,-59.5688
3.7081e+05,-64.0812
3.7107e+05,-61.0719
3.7133e+05,-58.0625
3.7159e+05,-61.0719
3.7185e+05,-64.0812
3.7211e+05,-64.0812
3.7237e+05,-64.0812
3.7263e+05,-64.0812
3.7289e+05,-64.0812
3.7315e+05,-64.0812
3.7341e+05,-64.0812
3.7367e+05,-64.0812
3.7393e+05,-64.0812
3.7419e+05,-62.5781
3.7446e+05,-61.0719
3.7472e+05,-62.5781
3.7498e+05,-64.0812
3.7524e+05,-64.0812
3.7550e+05,-64.0812
3.7576e+05,-62.5781
3.7602e+05,-61.0719
3.7628e+05,-61.0719
3.7654e+05,-61.0719
3.7680e+05,-61.0719
3.7706e+05,-61.0719
3.7732e+05,-62.5781
3.7758e+05,-64.0812
3.7784e+05,-62.5781
3.7810e+05,-61.0719
3.7836e+05,-61.0719
3.7862e+05,-61.0719
3.7888e+05,-61.0719
3.7914e+05,-61.0719
3.7940e+05,-61.0719
3.7966e+05,-61.0719
3.7992e+05,-62.5781
3.8018e+05,-64.0812
3.8044e+05,-64.0812
3.8070e+05,-64.0812
3.8097e+05,-62.5781
3.8123e+05,-61.0719
3.8149e+05,-62.5781
3.8175e+05,-64.0812
3.8201e+05,-61.0719
3.8227e+05,-58.0625
3.8253e+05,-61.0719
3.8279e+05,-64.0812
3.8305e+05,-60.5875
3.8331e+05,-57.0938
3.8357e+05,-60.5875
3.8383e+05,-64.0812
3.8409e+05,-62.5781
3.8435e+05,-61.0719
3.8461e+05,-59.0844
3.8487e+05,-57.0938
3.8513e+05,-59.0844
3.8539e+05,-61.0719
3.8565e+05,-62.5781
3.8591e+05,-64.0812
3.8617e+05,-62.5781
3.8643e+05,-61.0719
3.8669e+05,-59.0844
3.8695e+05,-57.0938
3.8721e+05,-60.5875
3.8748e+05,-64.0812
3.8774e+05,-64.0812
3.8800e+05,-64.0812
3.8826e+05,-64.0812
3.8852e+05,-64.0812
3.8878e+05,-61.0719
3.8904e+05,-58.0625
3.8930e+05,-61.0719
3.8956e+05,-64.0812
3.8982e+05,-64.0812
3.9008e+05,-64.0812
3.9034e+05,-59.5688
3.9060e+05,-55.0531
3.9086e+05,-58.0625
3.9112e+05,-61.0719
3.9138e+05,-62.5781
3.9164e+05,-64.0812
3.9190e+05,-64.0812
3.9216e+05,-64.0812
3.9242e+05,-61.0719
3.9268e+05,-58.0625
3.9294e+05,-59.5688
3.9320e+05,-61.0719
3.9346e+05,-59.0844
3.9372e+05,-57.0938
3.9399e+05,-59.0844
3.9425e+05,-61.0719
3.9451e+05,-62.5781
3.9477e+05,-64.0812
3.9503e+05,-64.0812
3.9529e+05,-64.0812
3.9555e+05,-62.5781
3.9581e+05,-61.0719
3.9607e+05,-62.5781
3.9633e+05,-64.0812
3.9659e+05,-60.5875
3.9685e+05,-57.0938
3.9711e+05,-60.5875
3.9737e+05,-64.0812
3.9763e+05,-64.0812
3.9789e+05,-64.0812
3.9815e+05,-60.5875
3.9841e+05,-57.0938
3.9867e+05,-59.0844
3.9893e+05,-61.0719
3.9919e+05,-61.0719
3.9945e+05,-61.0719
3.9971e+05,-62.5781
3.9997e+05,-64.0812
4.0023e+05,-60.5875
4.0050e+05,-57.0938
4.0076e+05,-59.0844
4.0102e+05,-61.0719
4.0128e+05,-62.5781
4.0154e+05,-64.0812
4.0180e+05,-64.0812
4.0206e+05,-64.0812
4.0232e+05,-60.5875
4.0258e+05,-57.0938
4.0284e+05,-60.5875
4.0310e+05,-64.0812
4.0336e+05,-62.5781
4.0362e+05,-61.0719
4.0388e+05,-61.0719
4.0414e+05,-61.0719
4.0440e+05,-62.5781
4.0466e+05,-64.0812
4.0492e+05,-64.0812
4.0518e+05,-64.0812
4.0544e+05,-64.0812
4.0570e+05,-64.0812
4.0596e+05,-64.0812
4.0622e+05,-64.0812
4.0648e+05,-60.5875
4.0674e+05,-57.0938
4.0701e+05,-60.5875
4.0727e+05,-64.0812
4.0753e+05,-62.5781
4.0779e+05,-61.0719
4.0805e+05,-62.5781
4.0831e+05,-64.0812
4.0857e+05,-62.5781
4.0883e+05,-61.0719
4.0909e+05,-62.5781
4.0935e+05,-64.0812
4.0961e+05,-64.0812
4.0987e+05,-64.0812
4.1013e+05,-62.5781
4.1039e+05,-61.0719
4.1065e+05,-62.5781
4.1091e+05,-64.0812
4.1117e+05,-62.5781
4.1143e+05,-61.0719
4.1169e+05,-61.0719
4.1195e+05,-61.0719
4.1221e+05,-62.5781
4.1247e+05,-64.0812
4.1273e+05,-64.0812
4.1299e+05,-64.0812
4.1325e+05,-62.5781
4.1352e+05,-61.0719
4.1378e+05,-62.5781
4.1404e+05,-64.0812
4.1430e+05,-62.5781
4.1456e+05,-61.0719
4.1482e+05,-61.0719
4.1508e+05,-61.0719
4.1534e+05,-59.0844
4.1560e+05,-57.0938
4.1586e+05,-60.5875
4.1612e+05,-64.0812
4.1638e+05,-62.5781
4.1664e+05,-61.0719
4.1690e+05,-62.5781
4.1716e+05,-64.0812
4.1742e+05,-62.5781
4.1768e+05,-61.0719
4.1794e+05,-61.0719
4.1820e+05,-61.0719
4.1846e+05,-59.5688
4.1872e+05,-58.0625
4.1898e+05,-61.0719
4.1924e+05,-64.0812
4.1950e+05,-64.0812
4.1976e+05,-64.0812
4.2003e+05,-62.5781
4.2029e+05,-61.0719
4.2055e+05,-61.0719
4.2081e+05,-61.0719
4.2107e+05,-61.0719
4.2133e+05,-61.0719
4.2159e+05,-62.5781
4.2185e+05,-64.0812
4.2211e+05,-62.5781
4.2237e+05,-61.0719
4.2263e+05,-61.0719
4.2289e+05,-61.0719
4.2315e+05,-61.0719
4.2341e+05,-61.0719
4.2367e+05,-62.5781
4.2393e+05,-64.0812
4.2419e+05,-61.0719
4.2445e+05,-58.0625
4.2471e+05,-61.0719
4.2497e+05,-64.0812
4.2523e+05,-62.5781
4.2549e+05,-61.0719
4.2575e+05,-62.5781
4.2601e+05,-64.0812
4.2627e+05,-64.0812
4.2654e+05,-64.0812
4.2680e+05,-64.0812
4.2706e+05,-64.0812
4.2732e+05,-62.5781
4.2758e+05,-61.0719
4.2784e+05,-62.5781
4.2810e+05,-64.0812
4.2836e+05,-60.5875
4.2862e+05,-57.0938
4.2888e+05,-57.5781
4.2914e+05,-58.0625
4.2940e+05,-59.5688
4.2966e+05,-61.0719
4.2992e+05,-59.0844
4.3018e+05,-57.0938
4.3044e+05,-60.5875
4.3070e+05,-64.0812
4.3096e+05,-64.0812
4.3122e+05,-64.0812
4.3148e+05,-62.5781
4.3174e+05,-61.0719
4.3200e+05,-59.0844
4.3226e+05,-57.0938
4.3252e+05,-60.5875
4.3278e+05,-64.0812
4.3305e+05,-64.0812
4.3331e+05,-64.0812
4.3357e+05,-64.0812
4.3383e+05,-64.0812
4.3409e+05,-60.5875
4.3435e+05,-57.0938
4.3461e+05,-60.5875
4.3487e+05,-64.0812
4.3513e+05,-62.5781
4.3539e+05,-61.0719
4.3565e+05,-61.0719
4.3591e+05,-61.0719
4.3617e+05,-62.5781
4.3643e+05,-64.0812
4.3669e+05,-59.5688
4.3695e+05,-55.0531
4.3721e+05,-59.5688
4.3747e+05,-64.0812
4.3773e+05,-64.0812
4.3799e+05,-64.0812
4.3825e+05,-64.0812
4.3851e+05,-64.0812
4.3877e+05,-61.0719
4.3903e+05,-58.0625
4.3929e+05,-61.0719
4.3956e+05,-64.0812
4.3982e+05,-64.0812
4.4008e+05,-64.0812
4.4034e+05,-62.5781
4.4060e+05,-61.0719
4.4086e+05,-62.5781
4.4112e+05,-64.0812
4.4138e+05,-64.0812
4.4164e+05,-64.0812
4.4190e+05,-60.5875
4.4216e+05,-57.0938
4.4242e+05,-60.5875
4.4268e+05,-64.0812
4.4294e+05,-62.5781
4.4320e+05,-61.0719
4.4346e+05,-62.5781
4.4372e+05,-64.0812
4.4398e+05,-62.5781
4.4424e+05,-61.0719
4.4450e+05,-62.5781
4.4476e+05,-64.0812
4.4502e+05,-64.0812
4.4528e+05,-64.0812
4.4554e+05,-62.5781
4.4580e+05,-61.0719
4.4607e+05,-62.5781
4.4633e+05,-64.0812
4.4659e+05,-64.0812
4.4685e+05,-64.0812
4.4711e+05,-64.0812
4.4737e+05,-64.0812
4.4763e+05,-62.5781
4.4789e+05,-61.0719
4.4815e+05,-61.0719
4.4841e+05,-61.0719
4.4867e+05,-61.0719
4.4893e+05,-61.0719
4.4919e+05,-61.0719
4.4945e+05,-61.0719
4.4971e+05,-61.0719
4.4997e+05,-61.0719
4.5023e+05,-62.5781
4.5049e+05,-64.0812
4.5075e+05,-62.5781
4.5101e+05,-61.0719
4.5127e+05,-61.0719
4.5153e+05,-61.0719
4.5179e+05,-62.5781
4.5205e+05,-64.0812
4.5231e+05,-62.5781
4.5258e+05,-61.0719
4.5284e+05,-61.0719
4.5310e+05,-61.0719
4.5336e+05,-62.5781
4.5362e+05,-64.0812
4.5388e+05,-60.5875
4.5414e+05,-57.0938
4.5440e+05,-59.0844
4.5466e+05,-61.0719
4.5492e+05,-62.5781
4.5518e+05,-64.0812
4.5544e+05,-62.5781
4.5570e+05,-61.0719
4.5596e+05,-62.5781
4.5622e+05,-64.0812
4.5648e+05,-64.0812
4.5674e+05,-64.0812
4.5700e+05,-62.5781
4.5726e+05,-61.0719
4.5752e+05,-61.0719
4.5778e+05,-61.0719
4.5804e+05,-62.5781
4.5830e+05,-64.0812
4.5856e+05,-60.5875
4.5882e+05,-57.0938
4.5909e+05,-60.5875
4.5935e+05,-64.0812
4.5961e+05,-64.0812
4.5987e+05,-64.0812
4.6013e+05,-64.0812
4.6039e+05,-64.0812
4.6065e+05,-62.5781
4.6091e+05,-61.0719
4.6117e+05,-62.5781
4.6143e+05,-64.0812
4.6169e+05,-62.5781
4.6195e+05,-61.0719
4.6221e+05,-62.5781
4.6247e+05,-64.0812
4.6273e+05,-62.5781
4.6299e+05,-61.0719
4.6325e+05,-62.5781
4.6351e+05,-64.0812
4.6377e+05,-61.0719
4.6403e+05,-58.0625
4.6429e+05,-61.0719
4.6455e+05,-64.0812
4.6481e+05,-64.0812
4.6507e+05,-64.0812
4.6533e+05,-62.5781
4.6560e+05,-61.0719
4.6586e+05,-62.5781
4.6612e+05,-64.0812
4.6638e+05,-64.0812
4.6664e+05,-64.0812
4.6690e+05,-64.0812
4.6716e+05,-64.0812
4.6742e+05,-64.0812
4.6768e+05,-64.0812
4.6794e+05,-62.5781
4.6820e+05,-61.0719
4.6846e+05,-61.0719
4.6872e+05,-61.0719
4.6898e+05,-61.0719
4.6924e+05,-61.0719
4.6950e+05,-61.0719
4.6976e+05,-61.0719
4.7002e+05,-61.0719
4.7028e+05,-61.0719
4.7054e+05,-59.0844
4.7080e+05,-57.0938
4.7106e+05,-60.5875
4.7132e+05,-64.0812
4.7158e+05,-62.5781
4.7184e+05,-61.0719
4.7211e+05,-62.5781
4.7237e+05,-64.0812
4.7263e+05,-64.0812
4.7289e+05,-64.0812
4.7315e+05,-60.5875
4.7341e+05,-57.0938
4.7367e+05,-59.0844
4.7393e+05,-61.0719
4.7419e+05,-62.5781
4.7445e+05,-64.0812
4.7471e+05,-60.5875
4.7497e+05,-57.0938
4.7523e+05,-60.5875
4.7549e+05,-64.0812
4.7575e+05,-62.5781
4.7601e+05,-61.0719
4.7627e+05,-61.0719
4.7653e+05,-61.0719
4.7679e+05,-62.5781
4.7705e+05,-64.0812
4.7731e+05,-62.5781
4.7757e+05,-61.0719
4.7783e+05,-61.0719
4.7809e+05,-61.0719
4.7835e+05,-62.5781
4.7862e+05,-64.0812
4.7888e+05,-64.0812
4.7914e+05,-64.0812
4.7940e+05,-62.5781
4.7966e+05,-61.0719
4.7992e+05,-62.5781
4.8018e+05,-64.0812
4.8044e+05,-62.5781
4.8070e+05,-61.0719
4.8096e+05,-62.5781
4.8122e+05,-64.0812
4.8148e+05,-60.5875
4.8174e+05,-57.0938
4.8200e+05,-59.0844
4.8226e+05,-61.0719
4.8252e+05,-61.0719
4.8278e+05,-61.0719
4.8304e+05,-61.0719
4.8330e+05,-61.0719
4.8356e+05,-59.5688
4.8382e+05,-58.0625
4.8408e+05,-61.0719
4.8434e+05,-64.0812
4.8460e+05,-64.0812
4.8486e+05,-64.0812
4.8513e+05,-62.5781
4.8539e+05,-61.0719
4.8565e+05,-62.5781
4.8591e+05,-64.0812
4.8617e+05,-62.5781
4.8643e+05,-61.0719
4.8669e+05,-62.5781
4.8695e+05,-64.0812
4.8721e+05,-62.5781
4.8747e+05,-61.0719
4.8773e+05,-62.5781
4.8799e+05,-64.0812
4.8825e+05,-64.0812
4.8851e+05,-64.0812
4.8877e+05,-64.0812
4.8903e+05,-64.0812
4.8929e+05,-62.5781
4.8955e+05,-61.0719
4.8981e+05,-61.0719
4.9007e+05,-61.0719
4.9033e+05,-62.5781
4.9059e+05,-64.0812
4.9085e+05,-60.5875
4.9111e+05,-57.0938
4.9137e+05,-60.5875
4.9164e+05,-64.0812
4.9190e+05,-64.0812
4.9216e+05,-64.0812
4.9242e+05,-62.5781
4.9268e+05,-61.0719
4.9294e+05,-61.0719
4.9320e+05,-61.0719
4.9346e+05,-59.0844
4.9372e+05,-57.0938
4.9398e+05,-60.5875
4.9424e+05,-64.0812
4.9450e+05,-62.5781
4.9476e+05,-61.0719
4.9502e+05,-61.0719
4.9528e+05,-61.0719
4.9554e+05,-61.0719
4.9580e+05,-61.0719
4.9606e+05,-62.5781
4.9632e+05,-64.0812
4.9658e+05,-62.5781
4.9684e+05,-61.0719
4.9710e+05,-62.5781
4.9736e+05,-64.0812
4.9762e+05,-62.5781
4.9788e+05,-61.0719
4.9815e+05,-61.0719
4.9841e+05,-61.0719
4.9867e+05,-61.0719
4.9893e+05,-61.0719
4.9919e+05,-59.0844
4.9945e+05,-57.0938
4.9971e+05,-59.0844
4.9997e+05,-61.0719
5.0023e+05,-61.0719
5.0049e+05,-61.0719
5.0075e+05,-62.5781
5.0101e+05,-64.0812
5.0127e+05,-62.5781
5.0153e+05,-61.0719
5.0179e+05,-62.5781
